name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price
Class of Its Own,Kensington and Chelsea,51.47832,-0.18474,Entire home/apt,4,2,2017-08-29,0.02,404,52,0,848.0
Studland Hammersmith,Hammersmith and Fulham,51.49282,-0.2354,Entire home/apt,2,6,2022-08-24,0.06,404,63,0,580.0
Deuce Delight,Merton,51.42008,-0.22777,Entire home/apt,3,9,2023-02-19,0.14,404,62,0,497.0
Stay In Style in Notting Hill Work/Play Chef Kitchen Privacy,Kensington and Chelsea,51.52158,-0.2191,Entire home/apt,7,37,2024-07-07,0.38,2,95,2,685.0
Family home to explore London from,Merton,51.42109,-0.1921,Entire home/apt,5,2,2022-12-30,0.02,2,250,0,420.0
Voyagers End,Greenwich,51.4745,-0.00783,Entire home/apt,1,2,2019-08-07,0.03,404,63,0,1182.0
Vintage chic flat Broadway Market,Hackney,51.53677,-0.06295,Entire home/apt,1,123,2024-09-03,1.2,2,16,27,500.0
Stunning family home in Parsons Green,Hammersmith and Fulham,51.47538,-0.20524,Entire home/apt,4,118,2024-08-21,1.15,1,336,11,780.0
NOT TAKING BOOKINGS CURRENTLY,Wandsworth,51.42472,-0.17009,Private room,1,47,2018-08-10,0.45,1,88,0,500.0
New house near Kingston town Centre,Kingston upon Thames,51.40778,-0.28928,Entire home/apt,80,0,,,6,363,0,500.0
Penthouse next to Oxford St,Westminster,51.51432,-0.1514,Entire home/apt,14,6,2018-10-14,0.06,45,365,0,600.0
Parliament Hill Townhouse by Veeve,Camden,51.5555,-0.1584,Entire home/apt,1,1,2022-08-01,0.04,404,52,0,927.0
Luxury & Elegance at Period Haven with South Facing Balcony,Camden,51.54509,-0.18589,Entire home/apt,7,18,2023-01-03,0.18,2,363,0,519.0
"Soho Entertainment District, Nice Smart Apartment",Westminster,51.51168,-0.13256,Entire home/apt,1,139,2024-06-10,1.35,12,365,26,450.0
Beautiful 5-bed home with drive & stunning garden,Richmond upon Thames,51.47670804290614,-0.2467166259884834,Entire home/apt,1,28,2024-08-19,1.35,1,353,19,1250.0
Beautiful 4 bedroom family home - Alexandra Palace,Haringey,51.59879,-0.12457,Entire home/apt,5,10,2024-01-04,0.1,1,248,1,495.0
Family Fun in Stoke Newington,Hackney,51.56197,-0.07931,Entire home/apt,5,1,2019-08-10,0.02,404,63,0,675.0
Serviced Two bedroom Apt St Christopher's Place.,Westminster,51.5148,-0.15125,Entire home/apt,1,4,2024-07-30,0.04,45,108,1,500.0
Award-winning Waterside,Tower Hamlets,51.48772,-0.0101,Entire home/apt,1,1,2021-09-09,0.03,404,62,0,1340.0
"Private Entrance, Heathrow Express, Hyde Park",Westminster,51.51545,-0.1806,Entire home/apt,7,10,2021-12-16,0.1,2,365,0,799.0
CENTRAL HUGE 3 BEDROOMS-MONEY SAVER,Southwark,51.49562,-0.10418,Entire home/apt,3,122,2023-06-06,1.19,1,316,0,421.0
Spacious 5 bedroom apt Bloomsbury - Russel Square,Camden,51.52592,-0.12658,Entire home/apt,4,29,2024-07-14,0.33,44,87,1,529.0
Sleeps 7! 2bedroom2bath in zone1,Westminster,51.52003,-0.16447,Entire home/apt,11,0,,,1,180,0,699.0
Ideal Royal Greenwich House & Garden. London. SE3,Greenwich,51.47056,0.02053,Entire home/apt,7,5,2023-08-24,0.13,1,363,0,650.0
Spacious 4 Bedroom by Russel Square - Bloomsbury,Camden,51.52696,-0.1268,Entire home/apt,5,32,2023-09-19,0.31,44,87,1,529.0
Elegant London house overlooking Barnes pond,Richmond upon Thames,51.47313690185547,-0.2452069967985153,Entire home/apt,7,0,,,1,226,0,750.0
"Stylish, Spacious, Family Apt in Kensington",Kensington and Chelsea,51.493458,-0.186627,Entire home/apt,3,126,2024-08-20,1.24,1,90,20,550.0
"Sloane Street entrance, 2 bedrooms",Kensington and Chelsea,51.49851,-0.1601,Entire home/apt,3,86,2024-08-12,0.94,1,319,7,900.0
"Stylish Townhouse, 2min to Hyde Park, Notting Hill",Westminster,51.51325,-0.1819,Entire home/apt,2,91,2024-07-20,0.97,1,64,19,420.0
Magnificent Marylebone Mews House with Garden,Westminster,51.52117156982422,-0.1485989987850189,Entire home/apt,4,40,2024-09-01,0.39,1,231,2,900.0
Stunning 3 bedroom design gem in leafy Hampstead,Camden,51.55136,-0.17375,Entire home/apt,3,18,2024-08-17,0.18,2,42,10,570.0
Modern and Stylish Victorian home in West London,Richmond upon Thames,51.46364,-0.29554,Entire home/apt,6,23,2024-08-14,0.23,1,23,4,550.0
Cool Clean Stylish Apartment Soho Central,Westminster,51.51322,-0.13475,Entire home/apt,1,134,2024-03-27,1.34,4,365,29,450.0
No Longer Available,Kensington and Chelsea,51.50861,-0.19863,Private room,3,97,2020-02-23,0.97,1,179,0,53588.0
"Luxury Flat with large balcony, behind Ken High St",Kensington and Chelsea,51.50681,-0.19974,Entire home/apt,7,45,2024-06-28,0.46,1,129,6,450.0
Soho Loft set in Japanese Garden,Westminster,51.51456,-0.13763,Entire home/apt,21,7,2024-06-26,0.07,3,334,3,432.0
A hidden gem in the heart of the West End,Westminster,51.51613,-0.13133,Entire home/apt,3,108,2024-08-06,1.1,1,101,14,469.0
Spacious & stylish 4 bedroom mansionette,Kensington and Chelsea,51.49443,-0.18485,Entire home/apt,6,56,2024-08-07,0.57,2,106,7,620.0
Cosy and romantic house,Merton,51.41419,-0.23306,Entire home/apt,2,4,2023-04-24,0.05,2,364,0,850.0
Sophia's Love 11 rooms Piccadilly Circus / StJames,Westminster,51.50859,-0.13204,Entire home/apt,1,104,2024-09-03,1.06,11,288,34,908.0
Stunning Stylish First Floor Flat in Notting Hill,Kensington and Chelsea,51.52175,-0.21211,Entire home/apt,4,8,2018-07-20,0.08,1,364,0,750.0
Spacious lateral Kensington flat,Kensington and Chelsea,51.50071,-0.19502,Entire home/apt,5,25,2024-03-31,0.26,1,170,3,520.0
Elegant Knightsbridge Townhouse close to Harrods,Kensington and Chelsea,51.49565,-0.16531,Entire home/apt,3,50,2024-08-18,0.52,1,341,11,599.0
Luxury Serviced Apartment - 2,Westminster,51.517,-0.14927,Entire home/apt,7,8,2024-05-31,0.08,10,341,1,475.0
Luxury Serviced Apartment - 3,Westminster,51.51708,-0.14937,Entire home/apt,7,7,2023-04-10,0.07,10,42,0,460.0
Ultra luxurious London home for 5-7,Kensington and Chelsea,51.49108,-0.16328,Entire home/apt,4,22,2022-11-28,0.23,72,357,0,1089.0
Stylish Mews House near Hyde Park & Oxford Street,Westminster,51.51899,-0.1678,Entire home/apt,2,43,2024-07-30,1.39,1,230,15,757.0
Zone 1 - 24th floor view over London in a new flat,Southwark,51.49467,-0.09946,Private room,2,1,2016-08-05,0.01,1,364,0,3000.0
Prime 2bed Apartment  next to Oxford Circus,Westminster,51.51736,-0.14412,Entire home/apt,14,36,2024-01-01,0.37,3,199,2,490.0
"Luxury Central Crouch End House 4 Bed, 3 Bath.",Haringey,51.58111,-0.12155,Entire home/apt,14,21,2023-07-22,0.22,1,309,0,550.0
Soho apartment,Westminster,51.51432,-0.13811,Entire home/apt,3,77,2024-04-14,0.78,6,198,2,450.0
Islington Charm,Hackney,51.5427,-0.08291,Entire home/apt,1,16,2019-10-04,0.17,404,63,0,876.0
Central 2 Bed Private Room,Tower Hamlets,51.51735,-0.07559,Private room,1,27,2020-03-17,0.35,1,179,0,1000.0
"Hyde Park Luxury: 5-Star Retreat, Town House",Westminster,51.51411,-0.17214,Entire home/apt,3,84,2024-09-04,0.9,6,270,17,1337.0
Luxury House Kensington/ Notting Hill,Kensington and Chelsea,51.5043,-0.19209,Entire home/apt,5,51,2020-01-04,0.53,1,109,0,481.0
Beautiful 3 bedroom Victorian House in Clapham,Wandsworth,51.46493,-0.15898,Entire home/apt,7,4,2020-10-06,0.05,2,119,0,450.0
Luxury Hyde Park Town House,Westminster,51.5129,-0.17382,Entire home/apt,3,8,2020-01-29,0.08,6,152,0,1286.0
"spacious 4 BR Apartment, in Marble Arch",Westminster,51.51347,-0.16173,Entire home/apt,3,36,2024-07-02,0.52,1,68,9,800.0
"Double Fronted Hyde Park Home in Central London,",Westminster,51.51496,-0.17298,Entire home/apt,3,1,2023-11-20,0.1,6,67,1,1102.0
